Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,30,4033,801,237,168,282,0,1134,3784,4166,1033,8247,0
00:05,32,4041,803,236,168,283,0,1135,3870,4022,1594,8036,0
00:10,32,4075,803,233,167,285,0,1134,3903,3909,1658,8162,0
00:15,32,4094,804,234,167,286,0,1134,3871,3861,1652,8114,0
00:20,32,4079,804,234,167,285,0,1134,3859,3816,1763,8013,0
00:25,31,4083,803,234,168,285,0,1135,3861,3855,1610,7974,0
00:30,32,4111,803,234,167,286,0,1134,3896,3865,1385,8000,0
00:35,31,4128,802,234,167,286,0,1134,3868,3860,1234,8030,0
00:40,32,4193,800,234,168,284,0,1134,3849,3848,1173,8009,0
00:45,32,4249,801,232,168,283,0,1134,3853,3853,1036,7932,0
00:50,32,4310,803,233,168,284,0,1134,3857,3856,764,8008,0
00:55,32,4352,802,232,167,285,0,1134,3857,3833,717,7970,0
01:00,32,4349,801,232,167,284,0,1134,3856,3774,561,8116,0
01:05,30,4331,803,234,166,284,0,1135,3848,3837,401,8266,0
01:10,30,4331,806,233,166,285,0,1134,3844,3864,438,8245,0
01:15,30,4299,807,233,166,286,0,1134,3844,3870,404,8198,0
01:20,29,4290,809,233,166,286,0,1134,3845,3870,291,8252,0
01:25,29,4259,807,232,167,286,0,1134,3846,3866,244,8232,0
01:30,29,4259,808,230,167,287,0,1134,3840,3843,181,8260,0
01:35,30,4269,804,231,167,286,0,1134,3839,3851,149,8194,0
01:40,30,4246,807,232,167,285,0,1134,3838,3841,124,8178,0
01:45,29,4210,806,230,167,285,0,1134,3830,3832,102,8155,0
01:50,30,4224,806,231,167,285,0,1134,3822,3825,63,8122,0
01:55,29,4273,806,233,167,285,0,1134,3828,3776,-56,8184,0
02:00,30,4345,808,233,167,285,0,1133,3835,3622,6,8143,0
02:05,30,4426,804,238,167,285,0,1134,3817,3298,554,7925,0
02:10,30,4492,803,238,167,285,0,1134,3801,3099,694,7853,0
02:15,30,4525,801,236,167,286,0,1134,3790,3040,708,7824,0
02:20,30,4550,805,236,167,286,0,1134,3768,3039,666,7807,0
02:25,30,4562,804,237,167,285,0,1134,3714,3026,662,7812,0
02:30,30,4576,805,236,167,285,0,1134,3690,3036,620,7831,0
02:35,30,4588,805,235,167,286,0,1135,3685,3021,551,7852,0
02:40,30,4599,804,233,167,284,0,1134,3651,2995,514,7865,0
02:45,31,4620,804,233,167,284,0,1134,3552,3004,529,7875,0
02:50,31,4631,804,234,167,285,0,1135,3443,3021,576,7880,0
02:55,31,4575,802,233,167,285,0,1135,3403,3013,561,7899,0
03:00,30,4505,802,233,167,285,0,1134,3394,3011,568,7883,0
03:05,31,4512,803,236,168,285,0,1134,3436,2993,532,7845,0
03:10,31,4533,806,236,168,285,0,1135,3471,2981,558,7822,0
03:15,31,4491,805,234,168,285,0,1134,3500,2978,529,7802,0
03:20,31,4442,807,236,168,285,0,1135,3519,2970,514,7806,0
03:25,30,4405,806,235,167,284,0,1134,3533,2976,485,7823,0
03:30,31,4420,805,236,165,284,0,1135,3549,2968,456,7797,0
03:35,31,4432,804,237,162,284,0,1134,3560,2967,442,7794,0
03:40,31,4459,804,238,162,284,0,1134,3564,2971,428,7753,0
03:45,31,4495,804,239,162,285,0,1135,3556,2972,376,7782,0
03:50,31,4512,805,237,162,284,0,1134,3531,2959,369,7769,0
03:55,31,4507,806,238,162,285,0,1134,3510,2970,382,7708,0
04:00,31,4460,807,237,162,285,0,1135,3520,2992,413,7654,0
04:05,31,4383,806,237,162,285,0,1135,3519,3073,623,7498,0
04:10,31,4324,806,237,161,285,0,1135,3507,3155,702,7451,0
04:15,31,4267,804,237,161,286,0,1134,3563,3175,749,7436,0
04:20,31,4218,804,238,161,286,0,1135,3615,3179,783,7416,0
04:25,31,4154,803,237,162,285,0,1134,3688,3186,814,7380,0
04:30,31,4091,804,236,161,285,0,1133,3730,3193,859,7347,0
04:35,30,4059,804,237,162,285,0,1134,3755,3202,933,7297,0
04:40,30,4013,804,239,162,286,0,1134,3774,3227,983,7281,0
04:45,30,3951,804,239,162,286,0,1134,3786,3241,1023,7257,0
04:50,30,3889,805,238,162,286,0,1134,3779,3260,1118,7240,0
04:55,30,3841,804,237,162,286,0,1134,3754,3232,1236,7296,0
05:00,30,3813,803,237,162,286,0,1134,3803,3149,1299,7336,0
05:05,31,3789,801,237,162,285,0,1134,3765,3245,1704,6987,0
05:10,31,3793,802,237,162,285,0,1134,3664,3347,1975,6765,0
05:15,31,3772,802,236,163,286,0,1134,3647,3413,2069,6757,0
05:20,31,3748,805,237,162,285,0,1134,3672,3418,2130,6746,0
05:25,31,3723,806,238,162,285,0,1134,3717,3440,2064,6812,0
05:30,30,3713,806,239,162,285,0,1134,3786,3439,1948,6966,0
05:35,32,3739,805,237,161,286,0,1134,3861,3442,1828,7110,0
05:40,41,3756,804,239,162,285,0,1134,3909,3465,1779,7169,0
05:45,64,3772,803,238,162,285,0,1134,3963,3460,1748,7156,0
05:50,108,3783,803,239,162,284,0,1134,3999,3476,1717,7142,0
05:55,192,3791,805,238,161,285,0,1134,4022,3484,1792,6931,0
06:00,356,3781,807,239,162,285,0,1134,4048,3491,1857,6700,0
06:05,618,3808,802,239,162,285,0,1133,3963,3607,1759,6743,0
06:10,963,3810,800,237,162,286,0,1133,3906,3698,1856,6474,0
06:15,1378,3833,798,237,162,285,0,1134,3910,3685,1874,6085,0
06:20,1861,3848,799,238,161,283,0,1135,3860,3639,1601,6027,0
06:25,2401,3821,801,239,162,283,0,1134,3783,3650,1351,5845,0
06:30,3029,3789,802,238,162,283,0,1134,3666,3607,954,5838,0
