Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-42,3765,778,248,147,242,0,1133,5812,3785,-40,5171,0
00:05,-41,3736,780,244,147,243,0,1133,5807,3313,663,5201,0
00:10,-41,3789,781,243,145,245,0,1133,5955,3102,948,5056,0
00:15,-41,3721,780,245,145,245,0,1134,6304,3038,759,4884,0
00:20,-41,3678,778,245,146,245,0,1134,6499,3042,660,4793,0
00:25,-41,3580,777,243,146,244,0,1133,6560,3038,553,4883,0
00:30,-41,3640,778,243,146,244,0,1134,6586,3072,491,4811,0
00:35,-41,3654,779,244,145,244,0,1134,6616,3079,176,4985,0
00:40,-41,3642,768,244,145,244,0,1134,6602,3068,231,4882,0
00:45,-41,3623,760,245,145,244,0,1134,6602,3048,246,4836,0
00:50,-41,3620,759,244,145,244,0,1134,6558,3044,220,4837,0
00:55,-41,3632,759,245,146,244,0,1135,6580,3057,151,4776,0
01:00,-41,3644,761,246,146,244,0,1134,6518,3035,135,4776,0
01:05,-41,3652,761,246,145,244,0,1135,6558,3025,277,4688,0
01:10,-41,3652,761,245,145,245,0,1134,6597,2962,198,4871,0
01:15,-41,3649,760,243,145,245,0,1135,6531,2932,168,4929,0
01:20,-41,3704,759,243,145,244,0,1135,6434,2944,313,4785,0
01:25,-41,3717,762,243,145,244,0,1135,6411,2946,334,4722,0
01:30,-41,3746,762,243,145,244,0,1135,6392,2956,251,4731,0
01:35,-41,3754,762,243,145,245,0,1134,6464,2946,133,4675,0
01:40,-42,3743,762,243,145,244,0,1135,6496,2917,53,4685,0
01:45,-42,3766,760,244,145,244,0,1135,6556,2908,-8,4638,0
01:50,-42,3821,760,244,145,244,0,1134,6556,2927,-130,4624,0
01:55,-42,3843,760,244,145,244,0,1135,6490,2956,-225,4676,0
02:00,-42,3903,761,243,144,244,0,1134,6406,2935,-263,4724,0
02:05,-42,4001,762,243,144,244,0,1134,6422,2901,-347,4645,0
02:10,-43,4118,760,244,145,245,0,1134,6465,2875,-530,4643,0
02:15,-43,4176,760,245,145,244,0,1134,6512,2757,-638,4667,0
02:20,-43,4171,760,244,145,243,0,1134,6588,2571,-461,4561,0
02:25,-43,4203,761,244,145,243,0,1134,6589,2583,-467,4529,0
02:30,-43,4203,761,244,145,244,0,1134,6479,2588,-426,4504,0
02:35,-43,4225,760,244,144,244,0,1134,6407,2578,-424,4485,0
02:40,-43,4275,759,244,145,244,0,1134,6374,2551,-392,4391,0
02:45,-43,4319,761,245,144,244,0,1134,6352,2555,-430,4328,0
02:50,-43,4368,766,245,145,244,0,1134,6341,2572,-439,4262,0
02:55,-43,4390,766,245,145,243,0,1135,6300,2570,-441,4279,0
03:00,-43,4470,764,244,145,243,0,1134,6247,2574,-477,4279,0
03:05,-43,4531,765,242,145,243,0,1135,6207,2549,-421,4259,0
03:10,-43,4549,767,243,145,243,0,1135,6190,2543,-318,4239,0
03:15,-43,4591,767,238,145,243,0,1134,6160,2570,-286,4231,0
03:20,-44,4594,767,238,144,243,0,1134,6152,2572,-300,4226,0
03:25,-43,4571,766,236,145,243,0,1134,6178,2575,-305,4209,0
03:30,-43,4561,765,235,145,243,0,1134,6184,2557,-320,4213,0
03:35,-43,4581,765,235,145,243,0,1134,6172,2550,-312,4166,0
03:40,-43,4576,766,239,145,243,0,1134,6252,2556,-407,4201,0
03:45,-43,4611,766,241,145,243,0,1134,6307,2577,-465,4153,0
03:50,-43,4638,765,242,145,243,0,1134,6249,2573,-358,4125,0
03:55,-43,4641,764,243,145,243,0,1134,6268,2565,-344,4107,0
04:00,-43,4542,766,243,145,243,0,1134,6245,2560,-336,4212,0
04:05,-42,4517,766,246,144,243,0,1135,6149,2594,-78,4218,0
04:10,-42,4448,766,247,144,243,0,1134,6108,2631,63,4272,0
04:15,-37,4375,768,246,144,244,0,1135,6171,2644,135,4268,0
04:20,-24,4385,771,246,144,244,0,1134,6276,2634,158,4228,0
04:25,-25,4304,767,247,144,244,0,1134,6434,2620,162,4186,0
04:30,-25,4217,767,247,144,244,0,1135,6534,2643,178,4211,0
04:35,-25,4182,767,248,144,244,0,1135,6628,2665,117,4247,0
04:40,-24,4164,770,247,144,244,0,1135,6781,2672,33,4185,0
04:45,-25,4120,768,246,144,244,0,1135,6909,2669,75,4090,0
04:50,-25,4068,766,247,145,244,0,1135,7051,2677,45,4006,0
04:55,-25,3996,781,246,145,244,0,1135,6978,2709,197,4031,0
05:00,-25,3887,789,246,145,244,0,1135,6781,2691,361,4246,0
05:05,-28,3878,779,245,145,244,0,1135,6397,2953,620,4266,0
05:10,-46,3783,761,246,144,245,0,1135,5995,3119,1216,4098,0
05:15,-46,3809,774,245,145,244,0,1135,5987,3124,1300,4118,0
05:20,-47,3836,762,245,145,244,0,1135,6045,3104,1332,4096,0
05:25,-46,3837,757,245,145,245,0,1135,6142,3117,1263,4120,0
05:30,-47,3873,757,244,145,244,0,1136,6307,3124,1144,4171,0
05:35,-47,3879,759,246,145,244,0,1135,6395,3103,1277,4114,0
05:40,-48,3859,759,248,145,244,0,1134,6438,3105,1513,3989,0
