Time,Hour ahead forecast,Current demand,Net demand,Net demand forecast,Demand response
00:00,22900,22766,18720,17513,
00:05,22900,23047,18836,16698,
00:10,22900,23133,19188,16698,
00:15,22900,23064,19066,16698,
00:20,22795,23023,18980,16698,
00:25,22795,22940,18930,16698,
00:30,22795,22851,18804,16698,
00:35,22536,22811,18764,16698,
00:40,22536,22716,18675,16698,
00:45,22536,22642,18627,16698,
00:50,22428,22578,18526,16698,
00:55,22428,22466,18433,16698,
01:00,22428,22379,18308,16698,
01:05,22307,22419,18237,16328,
01:10,22307,22529,18422,16328,
01:15,22307,22448,18349,16328,
01:20,22155,22372,18249,16328,
01:25,22155,22259,18104,16328,
01:30,22155,22257,17991,16328,
01:35,21975,22184,17988,16328,
01:40,21975,22110,17901,16328,
01:45,21975,22037,17836,16328,
01:50,21831,21958,17710,16328,
01:55,21831,21866,17568,16328,
02:00,21831,21773,17389,16328,
02:05,21594,21681,17208,15533,
02:10,21594,21571,17019,15533,
02:15,21594,21517,16919,15533,
02:20,21395,21449,16862,15533,
02:25,21395,21377,16777,15533,
02:30,21395,21330,16697,15533,
02:35,21228,21303,16637,15533,
02:40,21228,21274,16561,15533,
02:45,21228,21232,16498,15533,
02:50,21092,21167,16417,15533,
02:55,21092,21138,16422,15533,
03:00,21092,21125,16442,15533,
03:05,21094,21047,16478,15324,
03:10,21094,20976,16391,15324,
03:15,21094,20937,16351,15324,
03:20,21054,20946,16231,15324,
03:25,21054,20908,16208,15324,
03:30,21054,20863,16141,15324,
03:35,21011,20838,16102,15324,
03:40,21011,20825,16053,15324,
03:45,21011,20789,16049,15324,
03:50,20894,20806,16018,15324,
03:55,20894,20798,16018,15324,
04:00,20894,20794,16010,15324,
04:05,21024,20910,16084,15786,
04:10,21024,20958,16216,15786,
04:15,21024,21023,16246,15786,
04:20,21117,21094,16326,15786,
04:25,21117,21175,16502,15786,
04:30,21117,21169,16561,15786,
04:35,21232,21217,16630,15786,
04:40,21232,21238,16689,15786,
04:45,21232,21310,16731,15786,
04:50,21375,21377,16787,15786,
04:55,21375,21342,16827,15786,
05:00,21375,21527,16901,15786,
05:05,21782,21677,17202,17038,
05:10,21782,21723,17258,17038,
05:15,21782,21951,17490,17038,
05:20,22079,22038,17632,17038,
05:25,22079,22138,17726,17038,
05:30,22079,22221,17848,17038,
05:35,22369,22237,17874,17038,
05:40,22369,22442,18035,17038,
05:45,22369,22449,18094,17038,
05:50,22552,22461,18064,17038,
05:55,22552,22456,17977,17038,
06:00,22552,22507,17914,17038,
06:05,23052,22659,17820,15007,
06:10,23052,22884,17788,15007,
06:15,23052,22948,17558,15007,
06:20,23297,23010,17209,15007,
06:25,23297,23039,16772,15007,
06:30,23297,23110,16267,15007,
06:35,23475,23112,15693,15007,
06:40,23475,23220,15083,15007,
