Time,Hour ahead forecast,Current demand,Net demand,Net demand forecast,Demand response
00:00,22680,22586,18374,19343,
00:05,22680,22921,18408,18086,
00:10,22680,22761,18366,18086,
00:15,22680,22920,18327,18086,
00:20,22570,22738,18102,18086,
00:25,22570,22683,18020,18086,
00:30,22570,22630,17951,18086,
00:35,22303,22525,17797,18086,
00:40,22303,22638,17900,18086,
00:45,22303,22405,17772,18086,
00:50,22109,22306,17684,18086,
00:55,22109,22173,17611,18086,
01:00,22109,22064,17482,18086,
01:05,21877,22106,17376,17233,
01:10,21877,22265,17534,17233,
01:15,21877,22215,17534,17233,
01:20,21766,22087,17399,17233,
01:25,21766,22012,17300,17233,
01:30,21766,21962,17244,17233,
01:35,21567,21869,17123,17233,
01:40,21567,21814,16999,17233,
01:45,21567,21694,16895,17233,
01:50,21500,21616,16851,17233,
01:55,21500,21522,16775,17233,
02:00,21500,21442,16707,17233,
02:05,21231,21373,16683,16363,
02:10,21231,21197,16534,16363,
02:15,21231,21149,16474,16363,
02:20,21027,21030,16350,16363,
02:25,21027,20998,16269,16363,
02:30,21027,20936,16212,16363,
02:35,20859,20905,16205,16363,
02:40,20859,20857,16181,16363,
02:45,20859,20807,16181,16363,
02:50,20716,20777,16128,16363,
02:55,20716,20766,16094,16363,
03:00,20716,20752,16140,16363,
03:05,20598,20753,16175,16079,
03:10,20598,20783,16260,16079,
03:15,20598,20705,16257,16079,
03:20,20539,20734,16276,16079,
03:25,20539,20671,16246,16079,
03:30,20539,20667,16158,16079,
03:35,20546,20657,16164,16079,
03:40,20546,20635,16125,16079,
03:45,20546,20631,16082,16079,
03:50,20566,20647,16088,16079,
03:55,20566,20591,16081,16079,
04:00,20566,20614,16075,16079,
04:05,20711,20718,16141,16487,
04:10,20711,20803,16302,16487,
04:15,20711,20804,16372,16487,
04:20,20838,20846,16388,16487,
04:25,20838,20882,16490,16487,
04:30,20838,20865,16516,16487,
04:35,20981,20902,16557,16487,
04:40,20981,20938,16578,16487,
04:45,20981,20922,16557,16487,
04:50,21099,20869,16485,16487,
04:55,21099,20876,16409,16487,
05:00,21099,20981,16439,16487,
05:05,21522,21190,16661,17596,
05:10,21522,20891,16271,17596,
05:15,21522,21268,16531,17596,
05:20,21798,21253,16605,17596,
05:25,21798,21384,16691,17596,
05:30,21798,21468,16754,17596,
05:35,21932,21576,16874,17596,
05:40,21932,21715,17061,17596,
