timestep,price_usd_kwh
0,0.0429927533908189
1,0.0402300012090336
2,0.0440557705755727
3,0.0445255612153264
4,0.038528409942149
5,0.0399708280988391
6,0.0430582573719204
7,0.0422145874145777
8,0.0429367833309911
9,0.0412784517192903
10,0.0450187089547387
11,0.0449117552459729
12,0.0435277009832179
13,0.0458710452741364
14,0.0446044978390663
15,0.0419411169770593
16,0.0446468471316096
17,0.0419895124530039
18,0.04598237944025
19,0.0441709427561045
20,0.0440293246316539
21,0.0431328331788172
22,0.0472787754907674
23,0.0445388831280987
24,0.0441190613449484
25,0.044437314227764
26,0.0464558671732443
27,0.0462695362589179
28,0.0465356712407343
29,0.0467431057931107
30,0.0505077832913801
31,0.0453311550324994
32,0.045285446579175
33,0.0448308507356556
34,0.0480138916873024
35,0.0492735352356725
36,0.0468474080898125
37,0.045507863913237
38,0.0457276076802646
39,0.0490132561763933
40,0.0493968378613534
41,0.0491664487802301
42,0.0468187272775895
43,0.0488947816067082
44,0.048843516744407
45,0.0492490572084586
46,0.0508110556222473
47,0.0496415641094897
48,0.0507882056473416
49,0.0496941900801988
50,0.0503483191867397
51,0.0512546668934043
52,0.0470554145359324
53,0.0496290847322963
54,0.0494958194834105
55,0.049323202113059
56,0.050266104633141
57,0.0541599288003255
58,0.0493763215379432
59,0.0533991065090655
60,0.0479997641089438
61,0.0509952872573217
62,0.0522015419368016
63,0.053248274974613
64,0.0536642386836642
65,0.0539859297409213
66,0.0517323760275505
67,0.0516338984484862
68,0.0545418483818493
69,0.0524685314267755
70,0.0503162008139922
71,0.0507346057469048
72,0.0512973215093948
73,0.0543799731904017
74,0.053736708729109
75,0.054983047739359
76,0.052724774367277
77,0.0540373136790354
78,0.0550937400508086
79,0.0531990922170824
80,0.0548696333245651
81,0.0525748888186602
82,0.0532497794963429
83,0.0532504347004718
84,0.0515732592752367
85,0.0551320772703724
86,0.0531410188510297
87,0.0541627029055506
88,0.0551480793515215
89,0.055070605105255
90,0.0555169124632666
91,0.0538918543588719
92,0.0531812107079821
93,0.0538666396486642
94,0.0504470754936735
95,0.0509005801009969
96,0.0511036013460588
97,0.0517216472269297
98,0.0545829701956072
99,0.0517626615442304
100,0.0527840724112547
101,0.0562141584128474
102,0.0526389221691019
103,0.0548311192993604
104,0.0512112089806205
105,0.0526243290661885
106,0.0509393942456666
107,0.0520962079203133
108,0.0544419131306214
109,0.0489146547975789
110,0.0533150857682948
111,0.0527591616771467
112,0.050866031563354
113,0.0489279294976844
114,0.0519644773730592
115,0.0505472575569592
116,0.0519922205067763
117,0.0513925137160594
118,0.0545523972478094
119,0.0505274664639143
120,0.0487220366186522
121,0.0510893465990428
122,0.0510169661055483
123,0.0532523889109946
124,0.0519963607189502
125,0.0508383865317559
126,0.0530104026479925
127,0.0472921251001599
128,0.048299024801879
129,0.0475539354877929
130,0.0485419923063282
131,0.0463343318670023
132,0.0504282127953808
133,0.0485012895753269
134,0.045757642079966
135,0.0465970740766672
136,0.0492769420026555
137,0.0502729406423191
138,0.0526060613008422
139,0.0544380078888785
140,0.049101202468609
141,0.0460711685473025
142,0.0435964785754084
143,0.0485669560063982
144,0.0462350448758835
145,0.0470139434271118
146,0.0465512923950157
147,0.0474980586533597
148,0.0499957922550074
149,0.0480569854694563
150,0.0473703573174517
151,0.0455111809482266
152,0.0441579161730524
153,0.0466481886302369
154,0.047556999363465
155,0.0513887397083418
156,0.0479612390419002
157,0.0497681991077459
158,0.0466776759904489
159,0.0452642752904401
160,0.0457568099550366
161,0.0462956295721871
162,0.0523272920431782
163,0.0461750364937345
164,0.049706439676497
165,0.0460980204633022
166,0.0500015803579905
167,0.048906994663045
168,0.0478248417944996
169,0.0481248755913848
170,0.0468932766127418
171,0.0492637405324247
172,0.0474306325376725
173,0.0458715339725452
174,0.0458205964140119
175,0.0489250663961801
176,0.0519361589265804
177,0.0490122229613658
178,0.0484816877712881
179,0.0493837508552049
180,0.0515766029598086
181,0.0493426880641562
182,0.0480642436341605
183,0.0512925545469591
184,0.0499085899126536
185,0.0522685960874793
186,0.0494598347932723
187,0.0465312063503873
188,0.0462528243084917
189,0.0526119126253261
190,0.0527791411914215
191,0.0487922582626973
192,0.0483695559287352
193,0.052243364090505
194,0.0468446006390797
195,0.0472804384743791
196,0.0504951593959159
197,0.0482951022153981
198,0.0490873778280306
199,0.0487240104268186
200,0.0497400006374612
201,0.051945422575192
202,0.0491333497496435
203,0.0502436436087815
204,0.0445291611188086
205,0.0486703372672986
206,0.0469350450002106
207,0.0460746617637945
208,0.0467136583080164
209,0.0477751182955608
210,0.0503146945042808
211,0.0455160606635483
212,0.0482718136886097
213,0.0470927099189636
214,0.0473194743440558
215,0.0500078205442782
216,0.0489230137805535
217,0.0504891384051916
218,0.0472406533254321
219,0.0459852282576659
220,0.0468554781453379
221,0.0477111855177784
222,0.047446801673881
223,0.044670743165849
